"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TYMS",0.528756772486774,8.13725854166667,2.99350172655495,0.00428608171652176,0.0428608171652176,-2.26106291580654
"FCGR2A",-0.733960000000003,10.3625075,-2.96650104822278,0.00461811736811406,0.0455735266590203,-2.32811392806512
"CXCR4",-0.688235978835975,9.84913916666667,-2.95225386407477,0.00480284431101627,0.0467809510813273,-2.36332557192212
"TREM2",-0.587254973544974,9.932898125,-2.94058837522065,0.00495920199976286,0.0476846346131044,-2.39206936685498
"SIRPA",-0.38966105820106,10.1267404166667,-2.90953008988905,0.00539890903687033,0.0512554655399082,-2.4682114656347
"ZEB2",-0.4459,11.31978125,-2.88598916232481,0.0057560600672815,0.053963063130764,-2.52554761427835
"ADM",-0.823078730158731,9.42129583333333,-2.86297787055886,0.00612628015571318,0.0567248162566035,-2.58127708993835
"FCGR3A/B",-0.637811164021167,10.2988197916667,-2.85573171699882,0.0062473591132231,0.0570494437046398,-2.59876082223096
"WDR76",0.506352063492064,6.35103541666667,2.847769526594,0.00638295929956535,0.0570494437046398,-2.61793603944892
"AKT1",0.264459682539682,10.4643433333333,2.8470899404388,0.00639465848083916,0.0570494437046398,-2.619570917597
"FCGR1A",-0.569985608465608,8.846895,-2.83373698747844,0.00662860163791349,0.0570494437046398,-2.6516378236265
"IRF8",-0.600465396825397,7.86121916666667,-2.8329576146028,0.00664249811994955,0.0570494437046398,-2.65350616318461
"UBE2T",0.531646349206346,6.35679916666667,2.83106368297612,0.00667638009253049,0.0570494437046398,-2.65804483610073
"IL18",-0.674396931216932,8.01110458333333,-2.83009333091432,0.00669380139467773,0.0570494437046398,-2.66036937835058
"TP53",0.425783068783067,8.86358583333333,2.81124047721388,0.00704074256824662,0.0590801344564339,-2.70541970660437
"ERO1A",-0.558201322751325,9.157739375,-2.8053843221422,0.0071518513810073,0.0590801344564339,-2.71936958223764
"IFNGR1",-0.365847671957672,10.9978535416667,-2.80142777627271,0.00722783432500303,0.0590801344564339,-2.72878261691901
"FLNB",-0.560152751322747,9.270943125,-2.80037658056726,0.00724814698473921,0.0590801344564339,-2.73128191836078
"MS4A4A",-0.806916772486769,9.810453125,-2.79191301000903,0.00741362488380254,0.0590801344564339,-2.75138017650943
"IL10",-0.663777513227513,5.592065625,-2.78833682118088,0.00748458929902079,0.0590801344564339,-2.75985932662325
"CDKN2B",-0.714593333333331,6.55730791666667,-2.78681267139302,0.00751502418858435,0.0590801344564339,-2.76347071094498
"GBP2",-0.67096042328042,9.45654333333333,-2.7801542722832,0.00764932722472221,0.0590801344564339,-2.77923071481428
"PFKFB3",-0.354899100529101,9.608546875,-2.77744933795272,0.00770451736488056,0.0590801344564339,-2.78562535467113
"S100A8",-0.946585555555554,8.309165625,-2.77670327407328,0.00771980423564069,0.0590801344564339,-2.78738830757395
"PDGFRB",0.720652857142861,8.45723104166667,2.7681739370805,0.00789657157817194,0.059822511955848,-2.80751885583538
"ATF3",-0.61056767195767,9.06368520833333,-2.76235207244745,0.00801936416263381,0.060115604453213,-2.82123362394942
"SOX10",-1.33168095238095,8.93748708333333,-2.75878029202659,0.00809556806636601,0.060115604453213,-2.82963743773102
"CCNA1",-0.577017142857143,6.32289833333333,-2.75195849640517,0.00824296967014336,0.0606100711039953,-2.84566608602978
"MMP1",-0.936632116402118,5.92842729166667,-2.7410532340776,0.00848375103299082,0.0617748861625545,-2.87122943679106
"ITGB2",-0.655351375661374,10.6832077083333,-2.73317268588372,0.00866176324864538,0.0619046459840034,-2.88965645731863
"BRCA2",0.514066878306876,6.88407833333333,2.73295844208086,0.00866665043776047,0.0619046459840034,-2.89015688171526
"GPR160",-0.453852539682541,6.76345604166667,-2.70180024111183,0.00940505301480337,0.0665451864254955,-2.96262952245137
"NOD2",-0.529298306878306,6.37054875,-2.6963313902028,0.00954047185777352,0.0666475299274077,-2.97528692004046
"OLR1",-0.75152476190476,8.37059875,-2.68811307754151,0.00974734333780327,0.0666475299274077,-2.99427231035027
"KDR",0.658413280423276,6.82513270833333,2.6851487772187,0.00982296587971393,0.0666475299274077,-3.00110975369251
"TLR1",-0.498632063492066,7.64114041666667,-2.68356873861081,0.00986349407833497,0.0666475299274077,-3.00475199060754
"TLR8",-0.612479947089947,6.35275145833333,-2.68355549488788,0.00986383442925634,0.0666475299274077,-3.0047825127813
"SFRP4",1.0491235978836,7.76417916666667,2.67370108656439,0.0101200921269033,0.0677684740640844,-3.0274626470777
"RASGRF1",-0.765456825396824,7.77325625,-2.65950449611211,0.0105000112412745,0.0696903400969547,-3.06002780204026
"BAMBI",-0.665594656084654,8.07796729166667,-2.63826981896579,0.0110927197549988,0.0729784194407816,-3.10849692418273
"HSD11B1",-0.634849365079369,5.631904375,-2.6282588871722,0.0113826349347836,0.0742345756616324,-3.13124685214628
"CD28",-0.777917460317458,5.71795666666667,-2.62447573255271,0.011493986931843,0.0743145706800195,-3.1398272760251
"TMEM140",-0.529887671957679,8.42696770833333,-2.62024635717303,0.0116196512812489,0.0744849441105699,-3.14940880710186
"CSF1R",-0.597383439153436,10.7600289583333,-2.61531269360262,0.011767827764451,0.0747955154520192,-3.16057125738982
